,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
662,AVF,AVB,6.0,6.0,13.0,0.0,1.0,4,26.0,5.2,3,1,not specific
663,AVF,AVE,1.0,0.0,0.0,4.0,0.0,2,5.0,5.0,1,1,not specific
664,AVF,AVF,3.0,7.0,14.0,0.0,5.0,4,29.0,29.0,3,1,not specific
665,AVF,AVH,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
666,AVF,AVJ,2.0,1.0,3.0,0.0,1.0,4,7.0,7.0,3,1,not specific
667,AVF,AVK,0.0,1.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
668,AVF,AVM,1.0,0.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
669,AVF,AWA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
670,AVF,AWB,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
671,AVF,BDU,2.0,4.0,0.0,0.0,0.0,2,6.0,3.0,2,0,not specific
672,AVF,CEP,0.0,0.0,0.0,8.0,2.0,2,10.0,2.0,0,2,pristi_specific
673,AVF,DVA,3.0,1.0,0.0,0.0,0.0,2,4.0,4.0,2,0,not specific
674,AVF,HSN,4.0,9.0,10.0,0.0,0.0,3,23.0,5.75,3,0,cel_specific
675,AVF,PVD,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
676,AVF,PVN,6.0,2.0,0.0,0.0,21.0,3,29.0,29.0,2,1,not specific
677,AVF,PVQ,1.0,4.0,2.0,0.0,0.0,3,7.0,7.0,3,0,cel_specific
