,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
1519,1921,SMD,RIC,0.0,0.0,0.0,2.0,2.0,2,4.0,4.0,0,2,pristi_specific,4.0,SMD (pp) RIC,>3-10
1520,1922,SMD,RIM,3.0,3.0,7.0,2.0,0.0,4,15.0,5.0,3,1,not specific,15.0,SMD (pp) RIM,>3-10
1521,1923,SMD,RIS,1.0,2.0,5.0,8.0,2.0,5,18.0,6.0,3,2,core,18.0,SMD (pp) RIS,>3-10
1522,1924,SMD,RIV,0.0,0.0,8.0,0.0,0.0,1,8.0,2.6666666666666665,1,0,not specific,8.0,SMD (pp) RIV,1-3
1523,1925,SMD,RMD,3.0,5.0,11.0,57.0,26.0,5,102.0,34.0,3,2,core,102.0,SMD (pp) RMD,>10
1524,1926,SMD,RME,1.0,0.0,23.0,2.0,0.0,3,26.0,26.0,2,1,not specific,26.0,SMD (pp) RME,>10
1525,1928,SMD,RMG,0.0,0.0,0.0,5.0,0.0,1,5.0,,0,1,not specific,5.0,SMD (pp) RMG,>10
1526,1929,SMD,SAA,0.0,0.0,1.0,2.0,4.0,3,7.0,,1,2,not specific,7.0,SMD (pp) SAA,>10
1527,1930,SMD,SIA,1.0,0.0,1.0,3.0,0.0,3,5.0,2.5,2,1,not specific,5.0,SMD (pp) SIA,1-3
1528,1931,SMD,SIB,0.0,0.0,3.0,0.0,0.0,1,3.0,0.6,1,0,not specific,3.0,SMD (pp) SIB,1-3
1529,1932,SMD,SMD,28.0,28.0,65.0,50.0,15.0,5,186.0,37.2,3,2,core,186.0,SMD (pp) SMD,>10
1530,1933,SMD,URB,0.0,0.0,0.0,0.0,2.0,1,2.0,0.6666666666666666,0,1,not specific,2.0,SMD (pp) URB,1-3
1531,1934,SMD,URY,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,SMD (pp) URY,1-3
1532,1936,URA,ADA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,URA (pp) ADA,1-3
1533,1937,URA,AVE,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,URA (pp) AVE,1-3
